,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2015-01-01,"4,858,979","6,828,065","2,978,204","39,144,818","5,456,574","3,590,886","945,934","20,271,272","10,214,860","1,654,930","12,859,995","6,619,680","3,123,899","2,911,641","4,425,092","4,649,676","1,329,328","6,006,401","6,794,422","9,922,576","5,489,594","2,992,333","6,083,672","1,032,949","1,896,190","2,890,845","1,330,608","8,958,013","2,085,109","19,795,791","10,042,802","756,927","11,613,423","3,911,338","4,028,977","12,802,503","1,056,298","4,896,146","858,469","6,600,299","27,469,114","2,995,919","626,042","8,382,993","7,170,351","1,844,128","5,771,337","586,107"
2010-01-01,"4,779,735","6,329,013","2,915,921","37,253,956","5,029,196","3,574,097","897,934","18,801,311","9,687,653","1,567,582","12,830,632","6,483,800","3,046,350","2,853,118","4,339,362","4,515,770","1,328,361","5,773,552","6,547,629","9,883,635","5,303,925","2,967,297","5,988,927","989,415","1,826,341","2,700,551","1,316,472","8,791,894","2,059,180","19,378,104","9,535,475","672,591","11,536,502","3,751,354","3,831,074","12,702,379","1,052,567","4,625,364","814,18","6,346,110","25,145,561","2,763,885","625,741","8,001,024","6,724,540","1,852,996","5,686,986","563,626"
2000-01-01,"4,447,100","5,130,632","2,673,400","33,871,648","4,301,261","3,405,565","783,6","15,982,378","8,186,453","1,293,953","12,419,293","6,080,485","2,926,324","2,688,418","4,041,769","4,468,976","1,274,923","5,296,486","6,349,097","9,938,444","4,919,479","2,844,658","5,595,211","902,195","1,711,263","1,998,257","1,235,786","8,414,350","1,819,046","18,976,457","8,049,313","642,2","11,353,140","3,450,654","3,421,399","12,281,054","1,048,319","4,012,012","754,844","5,689,283","20,851,820","2,233,169","608,827","7,078,515","5,894,121","1,808,344","5,363,675","493,782"
1990-01-01,"4,040,587","3,665,228","2,350,725","29,760,021","3,294,394","3,287,116","666,168","12,937,926","6,478,216","1,006,749","11,430,602","5,544,159","2,776,755","2,477,574","3,685,296","4,219,973","1,227,928","4,781,468","6,016,425","9,295,297","4,375,099","2,573,216","5,117,073","799,065","1,578,385","1,201,833","1,109,252","7,730,188","1,515,069","17,990,455","6,628,637","638,8","10,847,115","3,145,585","2,842,321","11,881,643","1,003,464","3,486,703","696,004","4,877,185","16,986,510","1,722,850","562,758","6,187,358","4,866,692","1,793,477","4,891,769","453,588"
