State,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Latitude,32.806.671,33.729.759,34.969.704,36.116.203,39.059.811,41.597.782,39.318.523,27.766.279,33.040.619,44.240.459,40.349.457,39.849.426,42.011.539,38.526.600,37.668.140,31.169.546,44.693.947,39.063.946,42.230.171,43.326.618,45.694.454,32.741.646,38.456.085,46.921.925,41.125.370,38.313.515,43.452.492,40.298.904,34.840.515,42.165.726,35.630.066,47.528.912,40.388.783,35.565.342,44.572.021,40.590.752,41.680.893,33.856.892,44.299.782,35.747.845,31.054.487,40.150.032,44.045.876,37.769.337,47.400.902,38.491.226,44.268.543,42.755.966
Longitude,-86.791.130,-111.431.221,-92.373.123,-119.681.564,-105.311.104,-72.755.371,-75.507.141,-81.686.783,-83.643.074,-114.478.828,-88.986.137,-86.258.278,-93.210.526,-96.726.486,-84.670.067,-91.867.805,-69.381.927,-76.802.101,-71.530.106,-84.536.095,-93.900.192,-89.678.696,-92.288.368,-110.454.353,-98.268.082,-117.055.374,-71.563.896,-74.521.011,-106.248.482,-74.948.051,-79.806.419,-99.784.012,-82.764.915,-96.928.917,-122.070.938,-77.209.755,-71.511.780,-80.945.007,-99.438.828,-86.692.345,-97.563.461,-111.862.434,-72.710.686,-78.169.968,-121.490.494,-80.954.453,-89.616.508,-107.302.490
