Nevada, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,30.9,-3.2
199102,41.2,7.1
199202,39.3,5.2
199302,30.4,-3.7
199402,32.3,-1.8
199502,42.8,8.7
199602,37.4,3.3
199702,34.8,0.7
199802,33.5,-0.6
199902,35.7,1.6
200002,38.3,4.2
200102,32.0,-2.1
200202,35.2,1.1
200302,34.1,0.0
200402,32.3,-1.8
200502,35.4,1.3
200602,35.2,1.1
200702,36.8,2.7
200802,34.6,0.5
200902,35.3,1.2
201002,35.8,1.7
201102,32.8,-1.3
201202,34.6,0.5
201302,33.3,-0.8
