Oklahoma, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,44.7,3.5
199102,47.1,5.9
199202,47.8,6.6
199302,38.5,-2.7
199402,38.2,-3.0
199502,45.1,3.9
199602,43.4,2.2
199702,42.7,1.5
199802,44.8,3.6
199902,49.2,8.0
200002,48.0,6.8
200102,41.2,0.0
200202,41.2,0.0
200302,38.3,-2.9
200402,39.1,-2.1
200502,45.3,4.1
200602,41.0,-0.2
200702,39.3,-1.9
200802,41.2,0.0
200902,47.2,6.0
201002,35.7,-5.5
201102,39.4,-1.8
201202,43.8,2.6
201302,41.1,-0.1
