Colorado, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,20.3,-4.9
199112,25.9,0.7
199212,22.1,-3.1
199312,26.8,1.6
199412,29.5,4.3
199512,29.4,4.2
199612,27.2,2.0
199712,24.6,-0.6
199812,26.5,1.3
199912,27.9,2.7
200012,25.7,0.5
200112,26.4,1.2
200212,27.6,2.4
200312,28.6,3.4
200412,28.4,3.2
200512,26.0,0.8
200612,26.8,1.6
200712,22.4,-2.8
200812,25.3,0.1
200912,20.4,-4.8
201012,31.1,5.9
201112,24.4,-0.8
201212,25.9,0.7
201312,23.7,-1.5
