Minnesota, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,52.3,-1.9
199105,58.6,4.4
199205,57.3,3.1
199305,53.6,-0.6
199405,57.0,2.8
199505,53.1,-1.1
199605,51.6,-2.6
199705,49.6,-4.6
199805,60.4,6.2
199905,56.8,2.6
200005,56.7,2.5
200105,56.6,2.4
200205,49.8,-4.4
200305,54.3,0.1
200405,51.2,-3.0
200505,52.4,-1.8
200605,56.8,2.6
200705,58.7,4.5
200805,51.5,-2.7
200905,53.4,-0.8
201005,56.0,1.8
201105,53.6,-0.6
201205,58.3,4.1
201305,53.2,-1.0
