Utah, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,29.3,-1.0
199102,34.7,4.4
199202,34.9,4.6
199302,28.1,-2.2
199402,29.8,-0.5
199502,39.3,9.0
199602,34.1,3.8
199702,29.5,-0.8
199802,31.5,1.2
199902,34.0,3.7
200002,36.0,5.7
200102,31.7,1.4
200202,29.0,-1.3
200302,31.0,0.7
200402,27.8,-2.5
200502,33.5,3.2
200602,31.5,1.2
200702,34.3,4.0
200802,30.5,0.2
200902,33.1,2.8
201002,29.9,-0.4
201102,28.6,-1.7
201202,31.7,1.4
201302,27.6,-2.7
