Kentucky, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,73.7,-1.1
199108,75.0,0.2
199208,70.7,-4.1
199308,76.0,1.2
199408,72.7,-2.1
199508,79.3,4.5
199608,74.3,-0.5
199708,73.0,-1.8
199808,75.4,0.6
199908,75.3,0.5
200008,74.8,0.0
200108,76.4,1.6
200208,77.2,2.4
200308,75.9,1.1
200408,71.2,-3.6
200508,78.0,3.2
200608,77.4,2.6
200708,80.9,6.1
200808,73.9,-0.9
200908,73.6,-1.2
201008,78.3,3.5
201108,75.8,1.0
201208,74.6,-0.2
201308,73.7,-1.1
