New York, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,45.6,2.8
199104,47.4,4.6
199204,41.6,-1.2
199304,44.2,1.4
199404,44.9,2.1
199504,39.8,-3.0
199604,41.6,-1.2
199704,41.0,-1.8
199804,46.0,3.2
199904,44.0,1.2
200004,42.6,-0.2
200104,44.4,1.6
200204,45.9,3.1
200304,41.3,-1.5
200404,44.1,1.3
200504,45.9,3.1
200604,45.7,2.9
200704,41.2,-1.6
200804,48.4,5.6
200904,45.8,3.0
201004,49.2,6.4
201104,45.0,2.2
201204,43.9,1.1
201304,43.4,0.6
