Maryland, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,53.5,1.3
199104,54.9,2.7
199204,52.2,0.0
199304,51.9,-0.3
199404,57.9,5.7
199504,52.8,0.6
199604,53.4,1.2
199704,50.4,-1.8
199804,55.1,2.9
199904,53.5,1.3
200004,52.7,0.5
200104,54.5,2.3
200204,56.6,4.4
200304,52.6,0.4
200404,54.3,2.1
200504,54.7,2.5
200604,56.4,4.2
200704,51.1,-1.1
200804,55.6,3.4
200904,54.8,2.6
201004,57.5,5.3
201104,56.7,4.5
201204,54.2,2.0
201304,54.4,2.2
