Massachusetts, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,35.0,6.9
199112,31.1,3.0
199212,29.8,1.7
199312,29.5,1.4
199412,33.9,5.8
199512,25.1,-3.0
199612,34.9,6.8
199712,31.0,2.9
199812,35.6,7.5
199912,32.8,4.7
200012,25.0,-3.1
200112,35.9,7.8
200212,28.5,0.4
200312,31.4,3.3
200412,30.0,1.9
200512,28.1,0.0
200612,37.0,8.9
200712,28.4,0.3
200812,31.4,3.3
200912,29.0,0.9
201012,27.8,-0.3
201112,35.8,7.7
201212,34.8,6.7
201312,29.4,1.3
