New Mexico, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,33.6,0.0
199101,32.7,-0.9
199201,31.6,-2.0
199301,36.8,3.2
199401,35.2,1.6
199501,35.7,2.1
199601,36.3,2.7
199701,32.9,-0.7
199801,37.1,3.5
199901,39.3,5.7
200001,38.9,5.3
200101,31.8,-1.8
200201,36.0,2.4
200301,40.2,6.6
200401,36.6,3.0
200501,39.9,6.3
200601,38.2,4.6
200701,30.8,-2.8
200801,32.5,-1.1
200901,37.8,4.2
201001,33.6,0.0
201101,33.8,0.2
201201,38.6,5.0
201301,32.0,-1.6
