Idaho, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,26.8,4.8
199101,20.9,-1.1
199201,26.0,4.0
199301,19.1,-2.9
199401,28.7,6.7
199501,26.6,4.6
199601,24.0,2.0
199701,24.1,2.1
199801,27.9,5.9
199901,27.1,5.1
200001,25.7,3.7
200101,23.0,1.0
200201,23.2,1.2
200301,31.4,9.4
200401,22.8,0.8
200501,26.5,4.5
200601,27.9,5.9
200701,20.7,-1.3
200801,19.9,-2.1
200901,25.0,3.0
201001,28.2,6.2
201101,24.0,2.0
201201,26.8,4.8
201301,20.2,-1.8
