Wyoming, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,24.0,5.6
199101,16.9,-1.5
199201,22.5,4.1
199301,16.3,-2.1
199401,23.5,5.1
199501,22.3,3.9
199601,17.4,-1.0
199701,18.8,0.4
199801,22.7,4.3
199901,24.6,6.2
200001,24.0,5.6
200101,20.9,2.5
200201,20.2,1.8
200301,28.0,9.6
200401,20.8,2.4
200501,24.6,6.2
200601,26.9,8.5
200701,16.5,-1.9
200801,16.2,-2.2
200901,23.4,5.0
201001,22.2,3.8
201101,20.3,1.9
201201,25.1,6.7
201301,19.9,1.5
