Wyoming, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,59.5,1.9
199106,59.2,1.6
199206,58.5,0.9
199306,54.3,-3.3
199406,61.1,3.5
199506,55.4,-2.2
199606,60.6,3.0
199706,60.0,2.4
199806,52.4,-5.2
199906,56.7,-0.9
200006,58.3,0.7
200106,59.9,2.3
200206,61.3,3.7
200306,56.1,-1.5
200406,56.6,-1.0
200506,57.2,-0.4
200606,62.6,5.0
200706,61.0,3.4
200806,56.4,-1.2
200906,55.4,-2.2
201006,57.4,-0.2
201106,56.4,-1.2
201206,62.8,5.2
201306,60.7,3.1
