Alabama, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,61.4,-1.4
199104,65.9,3.1
199204,61.5,-1.3
199304,58.7,-4.1
199404,64.7,1.9
199504,63.2,0.4
199604,60.0,-2.8
199704,58.8,-4.0
199804,61.6,-1.2
199904,67.1,4.3
200004,60.1,-2.7
200104,64.7,1.9
200204,66.4,3.6
200304,63.3,0.5
200404,61.2,-1.6
200504,61.0,-1.8
200604,67.5,4.7
200704,60.0,-2.8
200804,62.8,0.0
200904,61.4,-1.4
201004,64.2,1.4
201104,65.7,2.9
201204,65.0,2.2
201304,62.2,-0.6
