Rhode Island, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,38.2,7.3
199112,34.6,3.7
199212,32.8,1.9
199312,32.2,1.3
199412,36.6,5.7
199512,28.4,-2.5
199612,37.6,6.7
199712,33.4,2.5
199812,37.7,6.8
199912,35.7,4.8
200012,28.0,-2.9
200112,38.6,7.7
200212,31.7,0.8
200312,34.7,3.8
200412,33.4,2.5
200512,31.2,0.3
200612,39.7,8.8
200712,31.4,0.5
200812,34.8,3.9
200912,32.1,1.2
201012,30.3,-0.6
201112,39.0,8.1
201212,37.6,6.7
201312,33.0,2.1
