Arizona, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,79.3,-0.4
199107,79.3,-0.4
199207,78.1,-1.6
199307,78.3,-1.4
199407,81.3,1.6
199507,80.3,0.6
199607,82.3,2.6
199707,79.4,-0.3
199807,81.2,1.5
199907,78.3,-1.4
200007,81.5,1.8
200107,79.8,0.1
200207,82.3,2.6
200307,83.8,4.1
200407,80.1,0.4
200507,82.7,3.0
200607,82.3,2.6
200707,82.0,2.3
200807,80.5,0.8
200907,82.8,3.1
201007,81.8,2.1
201107,80.8,1.1
201207,80.0,0.3
201307,81.0,1.3
