Oregon, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,49.2,5.3
199104,42.2,-1.7
199204,48.1,4.2
199304,43.2,-0.7
199404,46.6,2.7
199504,42.6,-1.3
199604,45.3,1.4
199704,43.0,-0.9
199804,44.2,0.3
199904,42.0,-1.9
200004,47.8,3.9
200104,41.8,-2.1
200204,45.0,1.1
200304,41.8,-2.1
200404,47.2,3.3
200504,44.0,0.1
200604,44.6,0.7
200704,44.7,0.8
200804,40.3,-3.6
200904,43.4,-0.5
201004,42.0,-1.9
201104,39.5,-4.4
201204,45.9,2.0
201304,44.6,0.7
