Georgia, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,51.4,5.3
199101,47.2,1.1
199201,46.2,0.1
199301,50.3,4.2
199401,42.3,-3.8
199501,46.4,0.3
199601,44.6,-1.5
199701,48.0,1.9
199801,49.5,3.4
199901,49.9,3.8
200001,46.2,0.1
200101,43.3,-2.8
200201,48.1,2.0
200301,42.3,-3.8
200401,45.0,-1.1
200501,49.5,3.4
200601,51.8,5.7
200701,49.2,3.1
200801,45.0,-1.1
200901,46.3,0.2
201001,41.8,-4.3
201101,41.8,-4.3
201201,50.0,3.9
201301,52.5,6.4
