Maine, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199008,66.2,3.2
199108,65.7,2.7
199208,63.3,0.3
199308,65.7,2.7
199408,62.7,-0.3
199508,64.9,1.9
199608,64.2,1.2
199708,62.8,-0.2
199808,64.8,1.8
199908,63.9,0.9
200008,63.1,0.1
200108,67.0,4.0
200208,66.7,3.7
200308,66.0,3.0
200408,64.6,1.6
200508,65.5,2.5
200608,61.7,-1.3
200708,63.5,0.5
200808,63.1,0.1
200908,66.1,3.1
201008,65.2,2.2
201108,64.8,1.8
201208,67.4,4.4
201308,63.7,0.7
