Maryland, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,46.8,4.3
199103,45.6,3.1
199203,41.4,-1.1
199303,39.2,-3.3
199403,41.7,-0.8
199503,45.7,3.2
199603,38.7,-3.8
199703,45.0,2.5
199803,44.9,2.4
199903,41.0,-1.5
200003,48.4,5.9
200103,40.4,-2.1
200203,45.4,2.9
200303,44.4,1.9
200403,45.6,3.1
200503,39.7,-2.8
200603,44.3,1.8
200703,44.9,2.4
200803,44.8,2.3
200903,43.1,0.6
201003,47.5,5.0
201103,43.7,1.2
201203,52.7,10.2
201303,39.7,-2.8
