New Hampshire, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,22.3,3.8
199102,24.7,6.2
199202,21.5,3.0
199302,12.0,-6.5
199402,14.8,-3.7
199502,17.7,-0.8
199602,19.7,1.2
199702,24.9,6.4
199802,27.8,9.3
199902,24.4,5.9
200002,22.8,4.3
200102,20.8,2.3
200202,25.0,6.5
200302,16.3,-2.2
200402,20.7,2.2
200502,22.5,4.0
200602,22.5,4.0
200702,15.0,-3.5
200802,22.2,3.7
200902,21.7,3.2
201002,25.3,6.8
201102,18.7,0.2
201202,26.9,8.4
201302,23.1,4.6
