Nebraska, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,31.9,9.8
199101,19.9,-2.2
199201,31.5,9.4
199301,18.2,-3.9
199401,21.8,-0.3
199501,24.8,2.7
199601,19.0,-3.1
199701,21.2,-0.9
199801,26.6,4.5
199901,26.4,4.3
200001,28.6,6.5
200101,27.5,5.4
200201,29.5,7.4
200301,26.9,4.8
200401,24.0,1.9
200501,23.1,1.0
200601,37.1,15.0
200701,21.6,-0.5
200801,21.3,-0.8
200901,25.5,3.4
201001,22.1,0.0
201101,20.4,-1.7
201201,30.4,8.3
201301,25.5,3.4
