Missouri, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,53.6,-0.9
199104,57.8,3.3
199204,54.8,0.3
199304,51.2,-3.3
199404,55.5,1.0
199504,53.6,-0.9
199604,52.3,-2.2
199704,50.0,-4.5
199804,54.0,-0.5
199904,56.9,2.4
200004,54.4,-0.1
200104,60.5,6.0
200204,57.3,2.8
200304,56.7,2.2
200404,56.2,1.7
200504,56.8,2.3
200604,60.9,6.4
200704,52.3,-2.2
200804,52.2,-2.3
200904,53.4,-1.1
201004,60.5,6.0
201104,56.8,2.3
201204,59.0,4.5
201304,52.1,-2.4
