Tennessee, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,73.9,0.1
199106,74.2,0.4
199206,70.3,-3.5
199306,73.5,-0.3
199406,75.4,1.6
199506,72.0,-1.8
199606,73.4,-0.4
199706,70.9,-2.9
199806,75.8,2.0
199906,74.4,0.6
200006,74.1,0.3
200106,71.9,-1.9
200206,74.9,1.1
200306,70.6,-3.2
200406,73.7,-0.1
200506,74.0,0.2
200606,73.2,-0.6
200706,75.2,1.4
200806,75.4,1.6
200906,75.6,1.8
201006,78.4,4.6
201106,76.5,2.7
201206,73.6,-0.2
201306,74.2,0.4
