Alabama, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,77.6,0.1
199106,76.8,-0.7
199206,74.9,-2.6
199306,77.6,0.1
199406,77.8,0.3
199506,75.2,-2.3
199606,76.7,-0.8
199706,74.0,-3.5
199806,80.7,3.2
199906,76.7,-0.8
200006,77.6,0.1
200106,75.8,-1.7
200206,77.2,-0.3
200306,75.6,-1.9
200406,76.8,-0.7
200506,76.7,-0.8
200606,78.1,0.6
200706,78.8,1.3
200806,78.7,1.2
200906,79.4,1.9
201006,80.9,3.4
201106,81.3,3.8
201206,76.8,-0.7
201306,78.0,0.5
