Michigan, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,25.9,2.6
199112,25.9,2.6
199212,26.6,3.3
199312,25.1,1.8
199412,30.3,7.0
199512,20.2,-3.1
199612,25.6,2.3
199712,29.0,5.7
199812,29.8,6.5
199912,26.9,3.6
200012,15.9,-7.4
200112,31.9,8.6
200212,26.0,2.7
200312,28.6,5.3
200412,23.5,0.2
200512,23.1,-0.2
200612,31.5,8.2
200712,24.1,0.8
200812,20.8,-2.5
200912,23.6,0.3
201012,22.8,-0.5
201112,29.9,6.6
201212,30.4,7.1
201312,19.3,-4.0
