New Mexico, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,59.7,-0.5
199105,61.1,0.9
199205,59.4,-0.8
199305,60.5,0.3
199405,61.1,0.9
199505,58.7,-1.5
199605,66.7,6.5
199705,61.4,1.2
199805,61.8,1.6
199905,59.8,-0.4
200005,66.0,5.8
200105,63.1,2.9
200205,62.7,2.5
200305,63.2,3.0
200405,63.1,2.9
200505,61.6,1.4
200605,65.0,4.8
200705,60.0,-0.2
200805,60.2,0.0
200905,63.6,3.4
201005,59.9,-0.3
201105,59.6,-0.6
201205,63.4,3.2
201305,61.6,1.4
