Utah, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,28.4,3.1
199101,22.6,-2.7
199201,24.7,-0.6
199301,25.6,0.3
199401,30.9,5.6
199501,29.4,4.1
199601,29.2,3.9
199701,27.3,2.0
199801,31.8,6.5
199901,31.9,6.6
200001,31.9,6.6
200101,26.3,1.0
200201,26.1,0.8
200301,35.2,9.9
200401,24.2,-1.1
200501,32.6,7.3
200601,29.9,4.6
200701,22.4,-2.9
200801,22.8,-2.5
200901,29.5,4.2
201001,27.0,1.7
201101,25.4,0.1
201201,31.0,5.7
201301,19.7,-5.6
