Delaware, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,46.8,4.1
199103,46.2,3.5
199203,41.4,-1.3
199303,39.9,-2.8
199403,42.8,0.1
199503,45.9,3.2
199603,39.6,-3.1
199703,45.5,2.8
199803,45.7,3.0
199903,42.2,-0.5
200003,48.7,6.0
200103,41.2,-1.5
200203,46.4,3.7
200303,45.1,2.4
200403,46.1,3.4
200503,40.1,-2.6
200603,44.6,1.9
200703,45.2,2.5
200803,45.7,3.0
200903,43.2,0.5
201003,48.1,5.4
201103,43.9,1.2
201203,52.4,9.7
201303,40.5,-2.2
