Mississippi, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,50.2,3.4
199112,50.7,3.9
199212,47.9,1.1
199312,46.1,-0.7
199412,49.6,2.8
199512,45.7,-1.1
199612,50.1,3.3
199712,44.9,-1.9
199812,50.1,3.3
199912,47.6,0.8
200012,38.4,-8.4
200112,50.8,4.0
200212,46.6,-0.2
200312,44.9,-1.9
200412,45.5,-1.3
200512,44.2,-2.6
200612,49.0,2.2
200712,51.9,5.1
200812,48.3,1.5
200912,44.3,-2.5
201012,42.3,-4.5
201112,48.0,1.2
201212,51.6,4.8
201312,46.7,-0.1
