Maryland, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,40.6,8.1
199101,34.6,2.1
199201,35.2,2.7
199301,36.9,4.4
199401,26.0,-6.5
199501,36.6,4.1
199601,30.6,-1.9
199701,33.3,0.8
199801,40.3,7.8
199901,36.1,3.6
200001,32.5,0.0
200101,32.2,-0.3
200201,39.0,6.5
200301,28.6,-3.9
200401,28.1,-4.4
200501,33.9,1.4
200601,41.1,8.6
200701,38.5,6.0
200801,35.7,3.2
200901,29.3,-3.2
201001,32.2,-0.3
201101,29.6,-2.9
201201,37.5,5.0
201301,36.3,3.8
