Utah, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,65.1,4.5
199109,61.3,0.7
199209,62.2,1.6
199309,60.5,-0.1
199409,63.4,2.8
199509,62.6,2.0
199609,59.0,-1.6
199709,61.7,1.1
199809,63.0,2.4
199909,59.8,-0.8
200009,62.0,1.4
200109,65.2,4.6
200209,61.0,0.4
200309,62.2,1.6
200409,60.2,-0.4
200509,60.8,0.2
200609,58.1,-2.5
200709,61.7,1.1
200809,61.9,1.3
200909,64.3,3.7
201009,63.8,3.2
201109,63.2,2.6
201209,63.6,3.0
201309,61.4,0.8
