Indiana, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,72.8,-1.7
199107,75.6,1.1
199207,72.5,-2.0
199307,76.2,1.7
199407,73.4,-1.1
199507,75.2,0.7
199607,71.5,-3.0
199707,73.8,-0.7
199807,73.6,-0.9
199907,77.9,3.4
200007,71.8,-2.7
200107,73.7,-0.8
200207,77.0,2.5
200307,73.0,-1.5
200407,72.0,-2.5
200507,75.0,0.5
200607,75.4,0.9
200707,71.9,-2.6
200807,73.3,-1.2
200907,69.2,-5.3
201007,76.4,1.9
201107,78.8,4.3
201207,80.2,5.7
201307,72.3,-2.2
