Maine, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199007,66.2,0.9
199107,65.5,0.2
199207,61.2,-4.1
199307,65.4,0.1
199407,68.6,3.3
199507,68.0,2.7
199607,64.3,-1.0
199707,65.6,0.3
199807,66.1,0.8
199907,67.8,2.5
200007,63.0,-2.3
200107,64.2,-1.1
200207,65.6,0.3
200307,65.9,0.6
200407,64.6,-0.7
200507,66.6,1.3
200607,68.9,3.6
200707,64.6,-0.7
200807,67.7,2.4
200907,63.0,-2.3
201007,69.2,3.9
201107,67.6,2.3
201207,67.6,2.3
201307,68.3,3.0
