Texas, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,50.2,4.8
199101,43.4,-2.0
199201,45.4,0.0
199301,45.5,0.1
199401,46.6,1.2
199501,48.0,2.6
199601,45.9,0.5
199701,44.9,-0.5
199801,50.6,5.2
199901,50.3,4.9
200001,50.7,5.3
200101,43.9,-1.5
200201,48.7,3.3
200301,46.2,0.8
200401,48.9,3.5
200501,50.7,5.3
200601,52.9,7.5
200701,42.5,-2.9
200801,46.1,0.7
200901,47.9,2.5
201001,44.4,-1.0
201101,45.0,-0.4
201201,50.4,5.0
201301,47.9,2.5
