Kentucky, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,40.2,4.0
199112,40.3,4.1
199212,36.5,0.3
199312,35.9,-0.3
199412,41.1,4.9
199512,33.9,-2.3
199612,40.3,4.1
199712,36.6,0.4
199812,40.7,4.5
199912,38.7,2.5
200012,26.7,-9.5
200112,41.8,5.6
200212,36.5,0.3
200312,37.0,0.8
200412,36.4,0.2
200512,33.3,-2.9
200612,41.6,5.4
200712,40.7,4.5
200812,36.7,0.5
200912,35.6,-0.6
201012,29.0,-7.2
201112,41.0,4.8
201212,43.0,6.8
201312,37.4,1.2
