California, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,69.4,1.2
199106,66.2,-2.0
199206,69.0,0.8
199306,68.0,-0.2
199406,70.9,2.7
199506,66.1,-2.1
199606,70.4,2.2
199706,68.4,0.2
199806,65.2,-3.0
199906,67.8,-0.4
200006,72.2,4.0
200106,71.4,3.2
200206,71.2,3.0
200306,71.2,3.0
200406,70.4,2.2
200506,66.2,-2.0
200606,73.2,5.0
200706,70.5,2.3
200806,71.1,2.9
200906,67.5,-0.7
201006,69.1,0.9
201106,66.9,-1.3
201206,69.3,1.1
201306,72.4,4.2
