Idaho, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,14.5,-9.4
199112,25.8,1.9
199212,20.2,-3.7
199312,25.1,1.2
199412,24.5,0.6
199512,26.8,2.9
199612,25.3,1.4
199712,23.4,-0.5
199812,22.6,-1.3
199912,25.9,2.0
200012,24.2,0.3
200112,22.1,-1.8
200212,28.8,4.9
200312,28.1,4.2
200412,28.5,4.6
200512,23.0,-0.9
200612,25.3,1.4
200712,23.4,-0.5
200812,22.6,-1.3
200912,19.8,-4.1
201012,26.6,2.7
201112,24.8,0.9
201212,25.8,1.9
201312,21.1,-2.8
