Mississippi, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,79.0,0.7
199106,78.4,0.1
199206,76.1,-2.2
199306,78.3,0.0
199406,79.0,0.7
199506,76.0,-2.3
199606,77.6,-0.7
199706,76.0,-2.3
199806,81.6,3.3
199906,78.4,0.1
200006,78.1,-0.2
200106,76.6,-1.7
200206,77.8,-0.5
200306,76.6,-1.7
200406,77.4,-0.9
200506,77.7,-0.6
200606,78.6,0.3
200706,79.2,0.9
200806,79.2,0.9
200906,80.2,1.9
201006,82.2,3.9
201106,82.2,3.9
201206,78.2,-0.1
201306,78.9,0.6
