Missouri, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,39.3,9.9
199101,26.5,-2.9
199201,35.4,6.0
199301,29.6,0.2
199401,26.2,-3.2
199501,29.4,0.0
199601,27.7,-1.7
199701,26.4,-3.0
199801,35.3,5.9
199901,30.6,1.2
200001,33.0,3.6
200101,29.4,0.0
200201,35.1,5.7
200301,27.4,-2.0
200401,29.8,0.4
200501,33.3,3.9
200601,41.2,11.8
200701,31.7,2.3
200801,30.8,1.4
200901,27.7,-1.7
201001,25.5,-3.9
201101,26.7,-2.7
201201,36.3,6.9
201301,33.8,4.4
