New Mexico, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,65.8,1.3
199109,62.5,-2.0
199209,65.3,0.8
199309,63.6,-0.9
199409,65.4,0.9
199509,65.0,0.5
199609,62.3,-2.2
199709,67.9,3.4
199809,68.9,4.4
199909,64.4,-0.1
200009,68.0,3.5
200109,66.7,2.2
200209,65.4,0.9
200309,66.0,1.5
200409,63.9,-0.6
200509,67.3,2.8
200609,60.9,-3.6
200709,67.0,2.5
200809,63.7,-0.8
200909,63.9,-0.6
201009,68.3,3.8
201109,66.3,1.8
201209,66.2,1.7
201309,66.0,1.5
