Georgia, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,55.6,7.0
199102,51.8,3.2
199202,52.2,3.6
199302,46.6,-2.0
199402,51.6,3.0
199502,47.9,-0.7
199602,49.1,0.5
199702,52.0,3.4
199802,50.3,1.7
199902,51.7,3.1
200002,51.6,3.0
200102,53.6,5.0
200202,48.4,-0.2
200302,48.9,0.3
200402,46.1,-2.5
200502,50.9,2.3
200602,47.4,-1.2
200702,46.7,-1.9
200802,50.8,2.2
200902,47.7,-0.9
201002,42.1,-6.5
201102,51.1,2.5
201202,52.8,4.2
201302,48.8,0.2
