Indiana, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,36.6,10.1
199101,26.3,-0.2
199201,30.4,3.9
199301,30.3,3.8
199401,20.2,-6.3
199501,28.1,1.6
199601,25.2,-1.3
199701,23.1,-3.4
199801,34.8,8.3
199901,27.0,0.5
200001,26.7,0.2
200101,26.9,0.4
200201,34.1,7.6
200301,21.6,-4.9
200401,24.5,-2.0
200501,29.9,3.4
200601,39.1,12.6
200701,32.2,5.7
200801,27.7,1.2
200901,21.4,-5.1
201001,23.9,-2.6
201101,23.7,-2.8
201201,32.4,5.9
201301,29.9,3.4
