Ohio, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,36.2,7.2
199102,33.8,4.8
199202,35.0,6.0
199302,26.5,-2.5
199402,27.7,-1.3
199502,26.7,-2.3
199602,28.8,-0.2
199702,34.6,5.6
199802,38.7,9.7
199902,34.8,5.8
200002,35.6,6.6
200102,34.0,5.0
200202,35.0,6.0
200302,25.4,-3.6
200402,30.2,1.2
200502,32.7,3.7
200602,31.4,2.4
200702,19.4,-9.6
200802,28.4,-0.6
200902,31.4,2.4
201002,25.7,-3.3
201102,30.5,1.5
201202,35.1,6.1
201302,29.2,0.2
