Texas, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,72.8,0.3
199105,74.6,2.1
199205,69.6,-2.9
199305,70.6,-1.9
199405,71.5,-1.0
199505,72.4,-0.1
199605,78.5,6.0
199705,70.5,-2.0
199805,77.2,4.7
199905,72.8,0.3
200005,76.9,4.4
200105,74.1,1.6
200205,74.0,1.5
200305,75.8,3.3
200405,73.7,1.2
200505,71.8,-0.7
200605,75.7,3.2
200705,71.4,-1.1
200805,74.3,1.8
200905,73.6,1.1
201005,73.8,1.3
201105,74.1,1.6
201205,75.5,3.0
201305,72.5,0.0
