Maine, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,16.4,1.5
199102,20.0,5.1
199202,16.2,1.3
199302,7.1,-7.8
199402,11.4,-3.5
199502,13.0,-1.9
199602,16.9,2.0
199702,18.2,3.3
199802,24.2,9.3
199902,21.4,6.5
200002,18.2,3.3
200102,16.0,1.1
200202,20.4,5.5
200302,12.2,-2.7
200402,18.0,3.1
200502,19.6,4.7
200602,19.0,4.1
200702,11.6,-3.3
200802,18.5,3.6
200902,18.9,4.0
201002,24.6,9.7
201102,16.2,1.3
201202,21.4,6.5
201302,20.0,5.1
