South Carolina, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,54.3,7.5
199102,50.2,3.4
199202,50.5,3.7
199302,45.0,-1.8
199402,48.7,1.9
199502,45.0,-1.8
199602,47.7,0.9
199702,50.5,3.7
199802,49.4,2.6
199902,49.6,2.8
200002,49.6,2.8
200102,51.3,4.5
200202,47.9,1.1
200302,46.6,-0.2
200402,44.2,-2.6
200502,48.3,1.5
200602,46.5,-0.3
200702,45.2,-1.6
200802,50.7,3.9
200902,46.8,0.0
201002,41.2,-5.6
201102,50.4,3.6
201202,50.6,3.8
201302,46.6,-0.2
