Illinois, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,44.6,4.8
199103,43.9,4.1
199203,42.7,2.9
199303,36.8,-3.0
199403,41.1,1.3
199503,43.3,3.5
199603,34.5,-5.3
199703,42.9,3.1
199803,40.6,0.8
199903,38.3,-1.5
200003,46.2,6.4
200103,37.1,-2.7
200203,37.8,-2.0
200303,41.6,1.8
200403,45.4,5.6
200503,39.0,-0.8
200603,41.8,2.0
200703,48.0,8.2
200803,39.0,-0.8
200903,43.6,3.8
201003,43.8,4.0
201103,41.6,1.8
201203,55.5,15.7
201303,34.3,-5.5
