Delaware, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,71.4,0.7
199106,72.7,2.0
199206,68.1,-2.6
199306,71.4,0.7
199406,74.4,3.7
199506,71.2,0.5
199606,72.3,1.6
199706,69.3,-1.4
199806,71.3,0.6
199906,71.3,0.6
200006,73.0,2.3
200106,73.5,2.8
200206,72.9,2.2
200306,70.0,-0.7
200406,71.3,0.6
200506,72.7,2.0
200606,72.1,1.4
200706,72.9,2.2
200806,75.2,4.5
200906,70.9,0.2
201006,77.4,6.7
201106,74.3,3.6
201206,72.9,2.2
201306,73.5,2.8
