West Virginia, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,38.6,5.5
199112,37.1,4.0
199212,33.6,0.5
199312,32.7,-0.4
199412,38.6,5.5
199512,29.5,-3.6
199612,37.5,4.4
199712,34.8,1.7
199812,38.4,5.3
199912,35.4,2.3
200012,25.6,-7.5
200112,39.9,6.8
200212,32.7,-0.4
200312,32.8,-0.3
200412,34.4,1.3
200512,30.0,-3.1
200612,39.4,6.3
200712,37.4,4.3
200812,35.2,2.1
200912,32.3,-0.8
201012,25.3,-7.8
201112,38.5,5.4
201212,39.2,6.1
201312,36.0,2.9
