North Carolina, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199009,70.0,-0.3
199109,69.9,-0.4
199209,70.3,0.0
199309,71.7,1.4
199409,67.6,-2.7
199509,68.7,-1.6
199609,69.2,-1.1
199709,69.6,-0.7
199809,73.2,2.9
199909,68.6,-1.7
200009,69.1,-1.2
200109,67.6,-2.7
200209,72.2,1.9
200309,69.4,-0.9
200409,70.2,-0.1
200509,73.6,3.3
200609,68.2,-2.1
200709,72.4,2.1
200809,70.8,0.5
200909,69.6,-0.7
201009,73.1,2.8
201109,71.0,0.7
201209,69.8,-0.5
201309,69.4,-0.9
