Virginia, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,70.8,-0.1
199106,71.8,0.9
199206,67.5,-3.4
199306,71.0,0.1
199406,73.6,2.7
199506,70.6,-0.3
199606,72.1,1.2
199706,68.6,-2.3
199806,71.7,0.8
199906,70.7,-0.2
200006,72.6,1.7
200106,71.5,0.6
200206,72.9,2.0
200306,68.9,-2.0
200406,70.8,-0.1
200506,71.8,0.9
200606,70.7,-0.2
200706,71.9,1.0
200806,74.0,3.1
200906,71.6,0.7
201006,76.0,5.1
201106,73.4,2.5
201206,70.2,-0.7
201306,72.2,1.3
