Arizona, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,40.8,0.1
199101,40.7,0.0
199201,39.6,-1.1
199301,43.5,2.8
199401,43.2,2.5
199501,42.1,1.4
199601,44.2,3.5
199701,42.0,1.3
199801,43.8,3.1
199901,45.4,4.7
200001,45.8,5.1
200101,40.3,-0.4
200201,42.3,1.6
200301,48.8,8.1
200401,42.8,2.1
200501,45.2,4.5
200601,44.1,3.4
200701,39.0,-1.7
200801,39.8,-0.9
200901,45.2,4.5
201001,42.2,1.5
201101,41.5,0.8
201201,45.3,4.6
201301,38.6,-2.1
