Tennessee, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199012,43.0,3.8
199112,43.2,4.0
199212,39.2,0.0
199312,39.2,0.0
199412,43.7,4.5
199512,37.3,-1.9
199612,42.7,3.5
199712,38.9,-0.3
199812,43.3,4.1
199912,41.5,2.3
200012,30.6,-8.6
200112,44.4,5.2
200212,39.5,0.3
200312,38.9,-0.3
200412,38.7,-0.5
200512,36.4,-2.8
200612,43.3,4.1
200712,44.5,5.3
200812,40.4,1.2
200912,37.9,-1.3
201012,32.7,-6.5
201112,42.8,3.6
201212,45.6,6.4
201312,40.4,1.2
