Missouri, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,73.9,0.9
199106,75.4,2.4
199206,69.9,-3.1
199306,72.0,-1.0
199406,75.1,2.1
199506,71.6,-1.4
199606,72.8,-0.2
199706,71.5,-1.5
199806,73.6,0.6
199906,72.6,-0.4
200006,71.2,-1.8
200106,71.7,-1.3
200206,74.7,1.7
200306,69.2,-3.8
200406,70.8,-2.2
200506,75.2,2.2
200606,73.5,0.5
200706,73.4,0.4
200806,73.5,0.5
200906,74.6,1.6
201006,77.3,4.3
201106,75.8,2.8
201206,74.8,1.8
201306,73.0,0.0
