New Mexico, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199002,37.0,-0.8
199102,40.7,2.9
199202,39.4,1.6
199302,38.2,0.4
199402,37.2,-0.6
199502,44.0,6.2
199602,42.9,5.1
199702,36.9,-0.9
199802,37.3,-0.5
199902,42.6,4.8
200002,43.7,5.9
200102,39.3,1.5
200202,37.0,-0.8
200302,38.6,0.8
200402,35.0,-2.8
200502,40.1,2.3
200602,40.1,2.3
200702,39.2,1.4
200802,39.6,1.8
200902,41.8,4.0
201002,35.1,-2.7
201102,35.0,-2.8
201202,38.2,0.4
201302,36.1,-1.7
