Illinois, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199004,50.8,-0.7
199104,56.0,4.5
199204,51.0,-0.5
199304,49.2,-2.3
199404,53.2,1.7
199504,50.1,-1.4
199604,48.6,-2.9
199704,47.6,-3.9
199804,52.6,1.1
199904,54.3,2.8
200004,51.5,0.0
200104,57.6,6.1
200204,53.5,2.0
200304,53.5,2.0
200404,54.1,2.6
200504,55.4,3.9
200604,57.0,5.5
200704,50.2,-1.3
200804,51.4,-0.1
200904,51.4,-0.1
201004,58.7,7.2
201104,53.1,1.6
201204,54.6,3.1
201304,50.2,-1.3
