Kentucky, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,72.2,-0.4
199106,74.0,1.4
199206,68.8,-3.8
199306,71.8,-0.8
199406,74.6,2.0
199506,72.0,-0.6
199606,72.4,-0.2
199706,70.1,-2.5
199806,73.5,0.9
199906,73.5,0.9
200006,73.1,0.5
200106,71.0,-1.6
200206,74.3,1.7
200306,68.7,-3.9
200406,72.1,-0.5
200506,73.9,1.3
200606,71.4,-1.2
200706,73.7,1.1
200806,74.3,1.7
200906,73.9,1.3
201006,77.0,4.4
201106,74.2,1.6
201206,72.5,-0.1
201306,72.9,0.3
