Delaware, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199005,61.3,-0.8
199105,68.5,6.4
199205,58.9,-3.2
199305,63.8,1.7
199405,59.4,-2.7
199505,61.9,-0.2
199605,60.6,-1.5
199705,59.7,-2.4
199805,64.8,2.7
199905,63.0,0.9
200005,64.7,2.6
200105,63.2,1.1
200205,62.7,0.6
200305,59.0,-3.1
200405,69.6,7.5
200505,58.4,-3.7
200605,63.0,0.9
200705,64.3,2.2
200805,60.9,-1.2
200905,63.8,1.7
201005,66.2,4.1
201105,66.4,4.3
201205,67.8,5.7
201305,63.7,1.6
