Wisconsin, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199006,64.9,0.8
199106,68.2,4.1
199206,61.6,-2.5
199306,61.5,-2.6
199406,66.5,2.4
199506,68.5,4.4
199606,64.4,0.3
199706,66.0,1.9
199806,63.5,-0.6
199906,65.4,1.3
200006,62.8,-1.3
200106,64.4,0.3
200206,66.4,2.3
200306,63.1,-1.0
200406,62.0,-2.1
200506,69.4,5.3
200606,65.1,1.0
200706,66.9,2.8
200806,64.4,0.3
200906,63.6,-0.5
201006,65.1,1.0
201106,64.3,0.2
201206,67.1,3.0
201306,63.9,-0.2
