Louisiana, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,53.8,4.5
199101,47.7,-1.6
199201,48.2,-1.1
199301,50.8,1.5
199401,47.0,-2.3
199501,50.4,1.1
199601,49.0,-0.3
199701,49.2,-0.1
199801,53.3,4.0
199901,54.1,4.8
200001,52.6,3.3
200101,45.6,-3.7
200201,51.4,2.1
200301,45.6,-3.7
200401,50.2,0.9
200501,54.0,4.7
200601,55.4,6.1
200701,49.6,0.3
200801,48.4,-0.9
200901,50.5,1.2
201001,45.6,-3.7
201101,46.9,-2.4
201201,55.2,5.9
201301,52.5,3.2
