Tennessee, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199003,51.3,2.9
199103,50.8,2.4
199203,48.3,-0.1
199303,45.1,-3.3
199403,48.2,-0.2
199503,51.8,3.4
199603,43.5,-4.9
199703,52.9,4.5
199803,48.3,-0.1
199903,44.8,-3.6
200003,52.5,4.1
200103,44.6,-3.8
200203,48.3,-0.1
200303,51.3,2.9
200403,52.6,4.2
200503,47.0,-1.4
200603,49.6,1.2
200703,56.4,8.0
200803,48.8,0.4
200903,50.3,1.9
201003,47.2,-1.2
201103,50.6,2.2
201203,59.8,11.4
201303,42.7,-5.7
